year,client,description,location
2018,PT. GUNUNG PELAWAN LESTARI,Extension kap. PKS dari 45 TPH ke 60 TPH,Bangka Belitung
2018,PT. MUSTIKA AGUNG SAWIT GEMILANG,Pembangunan PKS kap. 45 TPH,Riau
2018,PT. KARYA BAKTI AGRO SEJAHTERA,Extension kap. PKS dari 40 TPH ke 60 TPH,Kalimantan Barat
2018,PT. ECK SIPIL DAN MEKANIKAL,Penambahan Kernel Storage Bin kap. 350MT dan 500MT,Kalimantan Utara
2017,PT. HIJAU PERTIWI INDAH PLANTATIONS,Pembangunan PKS kap. 45/60 TPH,Kalimantan Tengah
2017,PT. TAPIAN NADENGGAN,Pembangunan Bulking Station,Kalimantan Timur
2017,PT. BIMA PALMA NUGRAHA,Extension kap. PKS dari 30 TPH ke 60 TPH,Kalimantan Timur
2017,PT. MERIDAN SEJATISURYA PLANTATION,Perbaikan Loading Ramp,Riau
2017,PT. TOLAN TIGA INDONESIA,"Upgrading Thresher Drum No.1, Fruit Cages kap. 2.750kg, Boiler Ash Conveyor",Sumatera Utara
2017,PT. EASTERN SUMATRA INDONESIA,"Perbaikan Hopper Loading Ramp, Top Fruit Conveyor, Bottom Fruit Conveyor, Penggantian Steam Pipe Line, Boiler No.2, Cake Breaker Conveyor No. 1,2,3",Sumatera Utara
2017,PT. SURYA BUMI AGRO LANGGENG,"Upgrading Empty Bunch, IWF Hoisting, CBC Conveyor, Fiber Shell Conveyor",Palembang
2017,PT. KRUING LESTARI JAYA,Take Over Sipil dan Mekanikal Extension PKS,Kalimantan Timur
2017,PT. ECK SIPIL DAN MEKANIKAL,Upgrading KCP,Kalimantan Utara
2017,PT. ECK SIPIL DAN MEKANIKAL,Extension kap. PKS dari 45 TPH ke 60 TPH,Kalimantan Barat
2016,PT. BORNEO BHAKTI SEJAHTERA,Mekanikal PKS kap. 45/60 TPH,Kalimantan Timur
2016,PT. GOLDEN BLOSSOM SUMATRA,Pembuatan 3 unit Oblique Sterilizer kap. 15 TPH,Palembang
2016,PT. GOLDEN BLOSSOM SUMATRA,Pembangunan PKS kap. 45/90 TPH,Palembang
2016,PT. VAREM SAWIT CEMERLANG,Pembuatan 2 unit Oblique Sterilizer,Sumatera Utara
2016,PT. SENTOSA PRIMA AGRO,Pembangunan PKS kap. 30 TPH,Kalimantan Barat
2016,PT. GUNAJAYA KARYA GEMILANG,Pembuatan 1 unit Incinerator dan Loading Ramp 7 Bays,Kalimantan Barat
2016,PT. SERIKAT PUTRA,Pembuatan 2 unit Liner Rebusan dan 10 unit Lori,Riau
2016,PT. PRATAMA UNGGUL SEJAHTERA,Pembuatan 4 unit Oblique Sterilizer,Bangka Belitung
2016,PT. BARUMUN AGRO SENTOSA,Pembuatan 2 unit Oblique Sterilizer,Sumatera Utara
2016,PT. KRUING LESTARI JAYA,Extension kap. PKS ke 80 TPH,Kalimantan Timur
2015,PT. EASTERN SUMATRA INDONESIA,"Pembangunan Composting Facility, EFB Transport Conveyor",Sumatera Utara
